DATE,MEPAINUSA672N
1974-01-01,24569
1975-01-01,24103
1976-01-01,24152
1977-01-01,24334
1978-01-01,24133
1979-01-01,23469
1980-01-01,23113
1981-01-01,22682
1982-01-01,22923
1983-01-01,23371
1984-01-01,24046
1985-01-01,24567
1986-01-01,25325
1987-01-01,25663
1988-01-01,26471
1989-01-01,27168
1990-01-01,26876
1991-01-01,26483
1992-01-01,26217
1993-01-01,26473
1994-01-01,26799
1995-01-01,27534
1996-01-01,28118
1997-01-01,29352
1998-01-01,30808
1999-01-01,31120
2000-01-01,31462
2001-01-01,31185
2002-01-01,30959
2003-01-01,31029
2004-01-01,30935
2005-01-01,31354
2006-01-01,32205
2007-01-01,32324
2008-01-01,30997
2009-01-01,30661
2010-01-01,30211
2011-01-01,29750
2012-01-01,29572
2013-01-01,29883
2014-01-01,30532
2015-01-01,32051
2016-01-01,32542
2017-01-01,32741
2018-01-01,33706
